net,length_um
u_cpu.IMEM._0153_,490.4
u_cpu.ALU.SrcA\[6\],489.31
u_cpu.REG_FILE._04455_,488.06
u_cpu.REG_FILE._02939_,488.02
u_cpu.REG_FILE._01260_,488.01
u_cpu.IMEM._0080_,487.38
u_cpu.ALU.u_wallace._4653_,487.25
u_cpu.REG_FILE._05335_,486.38
u_cpu.ALU.u_wallace._0578_,485.96
u_cpu.REG_FILE._01351_,485.32
u_cpu.REG_FILE._03166_,485.05
u_cpu.REG_FILE._03069_,484.69
u_cpu.REG_FILE._02966_,484.65
u_cpu.REG_FILE._03787_,484.64
u_cpu.REG_FILE._01194_,484.54
u_cpu.REG_FILE._01601_,484.54
u_cpu.REG_FILE._01843_,484.15
u_cpu.REG_FILE._04440_,483.18
u_cpu.REG_FILE._03029_,483.13
u_cpu.REG_FILE._02996_,482.99
u_cpu.REG_FILE._01032_,482.96
u_cpu.REG_FILE._04484_,482.535
u_cpu.REG_FILE._03442_,482.34
u_cpu.ALU.u_wallace._1333_,481.49
u_cpu.IMEM._0731_,481.43
u_cpu.REG_FILE._01906_,480.48
u_cpu.REG_FILE._02919_,480.39
u_cpu.ALU.SrcA\[13\],479.79
u_cpu.ALU.u_wallace._1552_,479.71
u_cpu.REG_FILE._01434_,478.46
u_cpu.REG_FILE._02056_,478.21
u_cpu.REG_FILE._04672_,477.07
u_cpu.REG_FILE._01915_,476.72
u_cpu.REG_FILE._04697_,475.34
u_cpu.ALU.u_wallace._0652_,474.65
u_cpu.REG_FILE._02013_,474.53
io_out[18],474.5
u_cpu.REG_FILE._01107_,474.07
u_cpu.IMEM._0042_,472.9
u_cpu.REG_FILE._01726_,472.315
u_cpu.REG_FILE._05120_,471.38
u_cpu.REG_FILE._05298_,471.22
u_cpu.ALU.u_wallace._2626_,470.7
u_cpu.REG_FILE._04478_,469.52
u_cpu.REG_FILE._03292_,469.06
u_cpu.REG_FILE._02783_,467.68
u_cpu.REG_FILE._02841_,467.38
u_cpu.ALU.u_wallace._4557_,466.335
u_cpu.ALU.u_wallace._1136_,465.555
u_cpu.REG_FILE._01590_,465.5
u_cpu.REG_FILE._01379_,465.06
u_cpu.ALU.u_wallace._4029_,464.66
u_cpu.ALU.u_wallace._1886_,464.29
u_cpu.REG_FILE._01569_,464.26
u_cpu.ALU.u_wallace._0475_,463.75
u_cpu.ALU.u_wallace._4454_,463.14
u_cpu.REG_FILE._04607_,462.8
u_cpu.REG_FILE._04449_,461.85
u_cpu.REG_FILE._02937_,460.24
u_cpu.REG_FILE._04467_,459.48
u_cpu.IMEM._0176_,459.29
u_cpu.REG_FILE._04451_,458.97
u_cpu.ALU.u_wallace._3996_,458.67
u_cpu.REG_FILE._01074_,458.555
u_cpu.REG_FILE._02830_,458.45
u_cpu.REG_FILE._02764_,458.16
u_cpu.ALU.u_wallace._2790_,457.74
u_cpu.REG_FILE._04457_,456.2
u_cpu.REG_FILE._03404_,455.92
u_cpu.ALU.u_wallace._0731_,455.91
u_cpu.REG_FILE._03629_,455.16
u_cpu.REG_FILE._01152_,455.03
u_cpu.REG_FILE._04796_,453.28
u_cpu.ALU.SrcA\[12\],452.9
u_cpu.ALU.u_wallace._0198_,452.81
u_cpu.REG_FILE._01962_,452.7
u_cpu.ALU.u_wallace._4562_,451.93
u_cpu.ALU.u_wallace._4541_,451.56
u_cpu.REG_FILE._01541_,451.42
u_cpu.ALU.u_wallace._1530_,451.38
u_cpu.ALU._0948_,450.02
u_cpu.REG_FILE._04749_,449.38
io_out[35],448.94
u_cpu.ALU._0921_,448.66
u_cpu.ALU.u_wallace._4542_,448.38
u_cpu.ALU.u_wallace._0742_,447.87
u_cpu.REG_FILE._02998_,447.84
u_cpu.ALU.u_wallace._2878_,446.94
u_cpu.ALU.u_wallace._1508_,446.15
u_cpu.REG_FILE._04820_,445.82
u_cpu.ALU.u_wallace._4642_,444.185
u_cpu.ALU.SrcB\[6\],443.68
u_cpu.REG_FILE._05192_,443.68
u_cpu.REG_FILE._01425_,443.5
u_cpu.REG_FILE._04684_,443.4
u_cpu.REG_FILE._03709_,443.12
u_cpu.ALU.u_wallace._1892_,442.32
u_cpu.REG_FILE._04486_,442.23
u_cpu.REG_FILE._04670_,442.2
u_cpu.IMEM._0150_,441.53
u_cpu.REG_FILE._01796_,439.77
u_cpu.REG_FILE._05256_,439.7
u_cpu.ALU.u_wallace._4698_,437.73
u_cpu.IMEM._0028_,437.64
u_cpu.REG_FILE._02916_,437.53
u_cpu.ALU.u_wallace._0523_,436.77
u_cpu.ALU._0814_,436.65
u_cpu.ALU.u_wallace._4894_,436.55
u_cpu.REG_FILE._01431_,436.37
u_cpu.ALU.u_wallace._1037_,435.605
u_cpu.ALU.u_wallace._0468_,434.79
u_cpu.IMEM._0002_,434.53
u_cpu.REG_FILE._01390_,434.14
u_cpu.REG_FILE._05655_,434.01
u_cpu.ALU.u_wallace._4647_,432.705
u_cpu.REG_FILE._01027_,431.18
u_cpu.REG_FILE._01395_,431.12
u_cpu.IMEM._0077_,430.645
u_cpu.ALU.u_wallace._4678_,430.58
u_cpu.REG_FILE._04453_,429.8
clknet_4_8__leaf_wb_clk_i,429.59
u_cpu.ALU.SrcA\[1\],428.42
u_cpu.REG_FILE._01424_,428.4
u_cpu.ALU.u_wallace._2725_,428.16
u_cpu.ALU._0666_,428.05
u_cpu.ALU.u_wallace._4463_,427.72
u_cpu.ALU.u_wallace._4527_,427.29
u_cpu.ALU.u_wallace._4917_,426.35
u_cpu.REG_FILE._04674_,426.055
io_out[22],426.04
clknet_4_9__leaf_wb_clk_i,426
u_cpu.ALU.u_wallace._0348_,425.3
u_cpu.ALU.u_wallace._1578_,425.21
u_cpu.ALU.u_wallace._0840_,424.71
u_cpu.ALU.u_wallace._0554_,424.64
u_cpu.REG_FILE._02878_,423.445
u_cpu.REG_FILE._01034_,423.21
io_out[25],423.19
u_cpu.IMEM._0281_,422.63
u_cpu.ALU.u_wallace._0250_,422.43
u_cpu.REG_FILE._01241_,422.19
u_cpu.ALU.u_wallace._3777_,422.06
u_cpu.ALU.u_wallace._0037_,422.02
u_cpu.REG_FILE._02010_,421.42
u_cpu.ALU.u_wallace._4539_,421.04
u_cpu.ALU.SrcB\[3\],420.92
u_cpu.ALU.u_wallace._3645_,420.68
u_cpu.ALU.SrcA\[11\],420.08
u_cpu.ALU.u_wallace._4733_,418.73
u_cpu.ALU._0679_,418.68
u_cpu.REG_FILE._04461_,418.55
u_cpu.IMEM._0710_,417.46
u_cpu.ALU.u_wallace._4313_,417.375
u_cpu.REG_FILE._04474_,416.82
u_cpu.ALU._0669_,416.54
u_cpu.IMEM._0079_,416.145
u_cpu.ALU.u_wallace._4660_,415.59
u_cpu.REG_FILE._01050_,414.99
u_cpu.REG_FILE._01085_,414.815
u_cpu.REG_FILE._04695_,414.66
u_cpu.REG_FILE._02016_,414.54
u_cpu._0521_,413.83
u_cpu.ALU.Product_Wallace\[27\],413.4
